Probability,Velocity (m/s)
0.2245248,100000000.0
0.2498844,110000000.0
0.2711532,120000000.0
0.2887416,130000000.0
0.3038664,140000000.0
0.3160956,150000000.0
0.3282096,160000000.0
0.3381864,170000000.0
0.3475304,180000000.0
0.3554628,190000000.0
0.3625876,200000000.0
0.369332,210000000.0
0.3747052,220000000.0
0.3804608,230000000.0
0.3851576,240000000.0
0.390044,250000000.0
0.3947684,260000000.0
0.3979436,270000000.0
0.4017684,280000000.0
0.405286,290000000.0
0.4079424,300000000.0
0.4110168,310000000.0
0.4140104,320000000.0
0.4161824,330000000.0
0.4192608,340000000.0
0.4212592,350000000.0
0.4231028,360000000.0
0.42549,370000000.0
0.4277072,380000000.0
0.4296904,390000000.0
0.430964,400000000.0
0.4325924,410000000.0
0.4346904,420000000.0
0.436126,430000000.0
0.4377732,440000000.0
0.4393184,450000000.0
0.4399556,460000000.0
0.4413596,470000000.0
0.4421488,480000000.0
0.4436484,490000000.0
0.444522,500000000.0
0.4465648,510000000.0
0.447074,520000000.0
0.447876,530000000.0
0.449854,540000000.0
0.4498284,550000000.0
0.4511028,560000000.0
0.451934,570000000.0
0.4527984,580000000.0
0.4533168,590000000.0
0.4544308,600000000.0
0.4551436,610000000.0
0.4553404,620000000.0
0.4564556,630000000.0
0.4571312,640000000.0
0.457324,650000000.0
0.4585524,660000000.0
0.4590272,670000000.0
0.4592568,680000000.0
0.4603068,690000000.0
0.4609236,700000000.0
0.4608292,710000000.0
0.4617264,720000000.0
0.4631368,730000000.0
0.4630264,740000000.0
0.4632108,750000000.0
0.4640872,760000000.0
0.4642144,770000000.0
0.4643728,780000000.0
0.4651552,790000000.0
0.4654824,800000000.0
0.466068,810000000.0
0.4665248,820000000.0
0.4672632,830000000.0
0.4673468,840000000.0
0.467658,850000000.0
0.4678252,860000000.0
0.46861,870000000.0
0.4681556,880000000.0
0.4690924,890000000.0
0.4692084,900000000.0
0.4696048,910000000.0
0.469786,920000000.0
0.4694028,930000000.0
0.471046,940000000.0
0.470998,950000000.0
0.4712244,960000000.0
0.4711764,970000000.0
0.471786,980000000.0
0.4720508,990000000.0
